,target_id,symbol,log2FC,pvalue,padj,statistic,baseMean
28420,NM_015660.3,GIMAP2,1.766569841,0.793272137,1,0.262063953,0.061499623
17253,NM_015662.3,IFT172,-0.083241622,0.754940343,1,-0.312131823,26.32348733
7461,NM_015665.6,AAAS,0.211327807,0.653854558,1,0.448413837,89.34854537
39778,NM_015667.2,SPATA31A7,NA,NA,NA,NA,0
39500,NM_015668.5,RGS22,NA,NA,NA,NA,0
24905,NM_015669.5,PCDHB5,0.448239519,0.774568087,1,0.286404815,0.708132056
12766,NM_015670.6,SENP3,-0.006921614,0.97609746,1,-0.029961873,87.60941175
20311,NM_015672.2,RIMBP3,1.090786728,0.348368054,1,0.937759431,1.278593367
14980,NM_015675.4,GADD45B,0.604493601,0.137356863,1,1.485706152,13.86882345
9823,NM_015676.3,TMEM251,-0.111676233,0.578024629,1,-0.556272433,53.28268133
17041,NM_015677.4,SH3YL1,-0.000338891,0.999165449,1,-0.001045955,18.67108597
30627,NM_015679.3,TRUB2,0.298343665,0.56709017,1,0.572342193,10.63358911
18898,NM_015680.6,CNPPD1,1.827425372,0.606804104,1,0.514640722,1.665751308
13026,NM_015681.5,B9D1,0.326403078,0.751193235,1,0.31706638,8.64885416
15607,NM_015683.2,ARRDC2,0.685228272,0.282760722,1,1.074138252,7.180926886
9307,NM_015684.4,DMAC2L,-0.130805303,0.835565288,1,-0.207569286,5.138373648
26213,NM_015687.5,FILIP1,1.046369024,0.086336093,1,1.71504982,4.642783534
23071,NM_015688.2,FAM184B,0.089214959,0.923410167,1,0.096139013,1.953007337
28303,NM_015689.5,DENND2A,0.284128269,0.772550295,1,0.289040618,1.758831284
18884,NM_015690.5,STK36,-0.800057397,0.757731668,1,-0.308460874,1.852604451
15564,NM_015692.5,CPAMD8,0.826685599,0.902764416,1,0.122169961,0.030064724
23664,NM_015693.4,INTU,0.119383738,0.735200206,1,0.338216284,16.15531922
28391,NM_015694.3,ZNF777,0.645433048,0.306327949,1,1.022957482,8.186127508
25914,NM_015695.3,BRPF3,0.281940113,0.386153428,1,0.866614204,18.31531093
32206,NM_015696.5,GPX7,NA,NA,NA,NA,0
31215,NM_015698.6,GPKOW,0.419458922,0.300901005,1,1.034503151,37.18635166
17571,NM_015700.4,NFU1,-0.006801043,0.976542119,1,-0.02940433,46.53397183
17438,NM_015701.5,ERLEC1,-0.152728643,0.429559311,1,-0.789945991,70.90611773
18263,NM_015702.3,MMADHC,-0.30183139,0.059228965,1,-1.886489924,176.0566369
20876,NM_015703.5,RRP7A,0.481633,0.391587965,1,0.856741135,31.29346548
20852,NM_015704.3,DESI1,-0.247326877,0.24989798,1,-1.150597214,40.71509283
20826,NM_015705.6,SGSM3,0.155610195,0.792489711,1,0.263078972,7.077605399
16458,NM_015710.5,NOP53,-0.143308803,0.654891083,1,-0.446977808,95.08076864
16456,NM_015711.3,BICRA,0.611992315,0.520435717,1,0.642673905,2.016887716
29307,NM_015713.5,RRM2B,-0.204827715,0.433212799,1,-0.783705731,28.72401711
3344,NM_015714.4,G0S2,0.111478443,0.715751363,1,0.36414282,23.13978415
20615,NM_015715.5,PLA2G3,0,1,1,0,0.030561081
12627,NM_015716.5,MINK1,-0.276039089,0.621668308,1,-0.493487305,25.81519935
17626,NM_015717.5,CD207,0.281820716,0.751149582,1,0.317123912,2.55823074
38768,NM_015718.3,NOX3,NA,NA,NA,NA,0
15284,NM_015719.4,COL5A3,1.775871414,0.415788843,1,0.813748849,0.477400892
22245,NM_015720.4,PODXL2,0.265874105,0.4953815,1,0.68177458,43.67727987
12504,NM_015721.3,GEMIN4,0.215617366,0.629506525,1,0.482421536,55.33137252
33102,NM_015722.4,CALY,NA,NA,NA,NA,0
28053,NM_015723.5,PNPLA8,-1.99110894,0.664499309,1,-0.433709635,0.365095619
35817,NM_015725.4,RDH8,NA,NA,NA,NA,0
2856,NM_015726.4,DCAF8,-0.147948208,0.316799001,1,-1.001057519,86.6276994
36382,NM_015727.3,TACR1,NA,NA,NA,NA,0
20249,NM_015833.4,ADARB1,0.31560648,0.528698992,1,0.629993263,8.37876052
20248,NM_015834.4,ADARB1,2.568111691,0.204436017,1,1.269014151,1.840958917
2625,NM_015840.4,ADAR,1.023519844,0.279555319,1,1.081318818,3.051477394
2626,NM_015841.4,ADAR,2.747795968,0.140560692,1,1.473706276,0.767063562
8784,NM_015842.2,LMO7,0,1,1,0,0.03020136
33991,NM_015848.4,KRT76,NA,NA,NA,NA,0
936,NM_015849.3,CELA2B,-0.135091199,0.971535721,1,-0.035682253,0.356720725
39387,NM_015850.4,FGFR1,NA,NA,NA,NA,0
27430,NM_015852.4,ZNF117,0.085104185,0.896294873,1,0.130343238,4.359400523
5782,NM_015853.5,UBXN1,0.518464135,0.280802245,1,1.078518915,10.04368465
9739,NM_015859.4,GTF2A1,-0.049885141,0.886370184,1,-0.142898702,21.35619185
14580,NM_015865.7,SLC14A1,0.826685599,0.902764416,1,0.122169961,0.027957144
36102,NM_015868.3,KIR2DL3,NA,NA,NA,NA,0
1178,NM_015871.5,ZNF593,0.744450079,0.349459283,1,0.935638621,21.52518145
29315,NM_015878.5,AZIN1,0.074047963,0.881884161,1,0.148581133,12.85322535
35697,NM_015879.3,ST8SIA3,NA,NA,NA,NA,0
31054,NM_015884.4,MBTPS2,-0.236425276,0.209511605,1,-1.254909529,63.12343256
6278,NM_015885.4,PCF11,-0.230014676,0.514028606,1,-0.652577637,16.39855397
29155,NM_015886.5,PI15,2.309099934,0.688920461,1,0.400320513,0.237297955
1842,NM_015888.6,HOOK1,-0.104501335,0.580499874,1,-0.552654707,63.71502811
20371,NM_015889.5,MED15,4.607201263,0.49000966,1,0.69029346,0.675550757
26412,NM_015891.3,CDC40,-0.057068737,0.781409481,1,-0.277482709,49.9414578
4955,NM_015892.5,CHST15,-0.470869903,0.480197785,1,-0.705984486,7.718027662
36745,NM_015893.1,PRLH,NA,NA,NA,NA,0
19919,NM_015894.4,STMN3,0.396578818,0.640617333,1,0.466835838,10.90480755
25558,NM_015895.5,GMNN,0.784763037,0.227876949,1,1.205845807,40.90183653
21682,NM_015896.4,ZMYND10,2.369652807,0.279129081,1,1.08227786,0.663291571
15037,NM_015897.4,PIAS4,0.354921608,0.598111715,1,0.527117903,4.615314189
35765,NM_015898.4,ZBTB7A,NA,NA,NA,NA,0
37498,NM_015900.4,PLA1A,NA,NA,NA,NA,0
4351,NM_015901.6,NUDT13,0.437187,0.749746962,1,0.318973033,1.739637136
29309,NM_015902.6,UBR5,-0.0038877,0.984527318,1,-0.019393347,54.90386419
17905,NM_015904.4,EIF5B,0.140464829,0.387819995,1,0.863577561,106.9977133
28269,NM_015905.3,TRIM24,0.047082158,0.891299183,1,0.136660461,15.76458395
2271,NM_015906.4,TRIM33,-0.089026854,0.775120977,1,-0.285682934,23.53524292
