,target_id,symbol,log2FC,pvalue,padj,statistic,baseMean
24,NM_001130688.1,HMGB2,-2.644564496,2.78E-07,0.000164874,-5.138115573,42.11287164
25,NM_006513.4,SARS1,-0.666524799,3.51E-07,0.000197027,-5.09398463,350.7444402
26,NM_001284283.2,VOPP1,-1.948982049,3.59E-07,0.000197027,-5.089367045,34.19910816
27,NM_198436.3,AURKA,-2.511786216,3.76E-07,0.000198621,-5.080674862,21.19289764
28,NM_032333.5,PRXL2A,-3.703837993,4.06E-07,0.000207005,-5.065892829,21.0039977
29,NM_001301188.1,TRIB3,-1.226512759,4.51E-07,0.000221165,-5.04587077,56.33894212
30,NM_001128148.3,TFRC,1.13782213,4.65E-07,0.000221165,5.040088708,96.14709974
31,NM_006556.4,PMVK,-3.372808724,5.35E-07,0.000228748,-5.013448883,27.83775143
32,NM_030653.4,DDX11,-8.006712718,5.52E-07,0.000228748,-5.007259074,82.54811001
33,NM_017785.5,SPDL1,-1.467088238,5.23E-07,0.000228748,-5.017493931,60.32953535
34,NM_022551.3,RPS18,-0.570464527,5.04E-07,0.000228748,-5.024812724,9199.755439
35,NM_001159676.1,SYNCRIP,2.870247561,5.78E-07,0.000228748,4.998584822,19.63699784
36,NM_001016.4,RPS12,-0.592305366,5.64E-07,0.000228748,-5.003025883,3264.299993
37,NM_001152.5,SLC25A5,-0.501623508,5.95E-07,0.000229192,-4.992923899,1189.54805
38,NM_018433.6,KDM3A,0.935990733,7.90E-07,0.000296538,4.937755232,71.58308806
39,NM_017905.6,TMCO3,-7.395456828,9.79E-07,0.000348852,-4.895890278,23.21823305
40,NM_001256513.1,SSBP1,-1.37367313,9.73E-07,0.000348852,-4.896968416,46.75311475
41,NM_001007074.1,RPL32,-3.622051981,1.14E-06,0.000392644,-4.866570764,110.7371858
42,NM_006079.5,CITED2,0.854769983,1.16E-06,0.000392644,4.86294248,83.66256374
43,NM_001347725.2,PITRM1,4.498557955,1.24E-06,0.000410476,4.849481379,14.20747933
44,NM_006118.4,HAX1,-1.061347806,1.47E-06,0.000477519,-4.814794585,257.3290443
45,NM_001153.5,ANXA4,-3.213551421,1.58E-06,0.000500449,-4.80092198,16.03177868
46,NM_001145416.2,TMEM205,-3.159223309,1.73E-06,0.000535298,-4.78275695,27.95605711
47,NM_001349945.2,SPTLC3,-1.552489323,1.80E-06,0.000535298,-4.774452216,69.718565
48,NM_000532.5,PCCB,-0.680029832,1.78E-06,0.000535298,-4.77713845,152.9750908
49,NM_021104.2,RPL41,-0.983301692,1.91E-06,0.000555712,-4.76275638,7173.469262
50,NM_001303114.1,TUBA1C,-1.057180879,1.97E-06,0.000560866,-4.756815482,290.0620376
51,NM_000098.3,CPT2,-4.202083069,2.01E-06,0.000561829,-4.752468033,23.67550544
52,NM_001330692.2,PSMD4,-0.976674647,2.31E-06,0.000622736,-4.724329402,339.0384044
53,NM_004990.4,MARS1,-1.08012566,2.36E-06,0.000622736,-4.719708052,229.4131569
54,NM_001099661.2,EIF3CL,4.941352896,2.36E-06,0.000622736,4.719612294,27.23743608
55,NM_001320774.2,ZNF544,-2.4355191,2.40E-06,0.000622736,-4.716274418,16.179919
56,NM_006429.4,CCT7,-0.568963891,2.60E-06,0.000660857,-4.700487447,1109.09231
57,NM_032901.4,COX14,-0.966719495,2.69E-06,0.000666413,-4.693540752,119.4906494
58,NM_004083.5,DDIT3,-0.899690747,2.71E-06,0.000666413,-4.69160464,121.9606642
59,NM_016183.4,MRTO4,-0.904276423,2.86E-06,0.000692134,-4.68034892,85.94198303
60,NM_032635.4,TMEM147,-1.393979692,3.05E-06,0.000725863,-4.667131664,206.6449965
61,NM_001011.4,RPS7,-0.432097603,3.39E-06,0.000792885,-4.645535167,3038.800138
62,NM_020992.4,PDLIM1,-0.578980599,3.87E-06,0.000890409,-4.618157859,236.4752664
63,NM_001613.4,ACTA2,-1.08640161,4.20E-06,0.000897413,-4.601316754,55.40641062
64,NM_182729.3,TXNRD1,-0.741700618,4.10E-06,0.000897413,-4.606482954,110.4435426
65,NM_001323920.3,JMJD8,-7.019083818,4.13E-06,0.000897413,-4.604806473,20.45581811
66,NM_001330330.2,LUC7L3,0.919629039,4.22E-06,0.000897413,4.60040262,68.78149504
67,NM_001287032.1,STOML2,-1.454863273,4.18E-06,0.000897413,-4.602107795,195.0841067
68,NM_144772.3,NAXE,-1.294424891,4.94E-06,0.001020982,-4.567295155,218.2889935
69,NM_005022.4,PFN1,-1.195203884,4.90E-06,0.001020982,-4.568952041,1539.044966
70,NM_018955.4,UBB,-1.455767962,5.13E-06,0.001029907,-4.559472494,2652.322758
71,NM_001863.5,COX6B1,-1.371625356,5.09E-06,0.001029907,-4.561084182,1097.470255
72,NM_001024662.3,RPL6,-1.310692862,5.31E-06,0.001051888,-4.552094413,134.4413281
73,NM_001015.5,RPS11,-1.248108272,5.39E-06,0.001051893,-4.549191398,4420.691652
74,NM_001301699.1,ERI3,-1.709803326,5.73E-06,0.001105015,-4.535941627,81.54381209
75,NM_001033930.3,UBA52,-2.099694834,5.87E-06,0.001116404,-4.530942921,132.2180851
76,NM_003757.3,EIF3I,-0.879159622,6.07E-06,0.001131635,-4.524015865,418.0588986
77,NM_173798.4,ZCCHC12,-3.167899326,6.11E-06,0.001131635,-4.522514182,56.02518418
78,NM_013349.5,NENF,-1.239141232,6.96E-06,0.001257215,-4.495019938,133.833644
79,NM_005702.4,ERAL1,-1.146808822,7.05E-06,0.001257215,-4.492064895,176.1608769
80,NM_004275.5,MED20,-3.851358679,7.05E-06,0.001257215,-4.492140504,16.40525085
81,NM_003205.4,TCF12,-1.978178522,7.19E-06,0.001265818,-4.487966127,20.10033188
82,NM_015584.5,POLDIP2,-0.95560878,7.74E-06,0.001322207,-4.472261747,198.696647
83,NM_001320646.2,LOC102724594,-0.475149012,7.79E-06,0.001322207,-4.470899092,471.140114
84,NM_003707.3,RUVBL1,-0.474673631,7.63E-06,0.001322207,-4.475284641,231.4538751
85,NM_001321706.2,RPS9,-3.897151379,7.98E-06,0.001338328,-4.4657743,67.93655162
86,NM_003768.5,PEA15,-0.66224544,8.13E-06,0.001347624,-4.461787155,107.0575943
87,NM_012456.3,TIMM10,-1.687770405,8.82E-06,0.001446082,-4.444171107,78.97534186
88,NM_001142522.3,FBXO5,-1.518962272,8.95E-06,0.00145034,-4.441080495,43.66577083
89,NM_001005335.2,HNRNPL,-0.664329719,9.23E-06,0.001461793,-4.434548398,687.2341628
90,NM_013232.4,PDCD6,-1.364510799,9.21E-06,0.001461793,-4.434841722,101.8445525
91,NM_183376.3,ARRDC4,0.746058891,9.88E-06,0.001547559,4.419861505,302.4248384
92,NM_016504.3,MRPL27,-1.251646439,1.04E-05,0.00160456,-4.409672061,145.6911703
93,NM_017647.4,FTSJ3,-0.840193466,1.06E-05,0.001621151,-4.404625413,98.46183588
94,NM_015966.3,ERGIC3,-1.400394171,1.07E-05,0.001621151,-4.402781949,281.8234222
95,NM_001618.4,PARP1,-0.459012436,1.18E-05,0.001733486,-4.381390699,608.7706398
96,NM_002805.6,PSMC5,-0.693325157,1.17E-05,0.001733486,-4.382458794,331.7169618
97,NM_018235.3,CNDP2,-1.74445072,1.16E-05,0.001733486,-4.384112844,23.12731769
98,NM_002966.3,S100A10,0.647380194,1.27E-05,0.001841626,4.365948635,343.9284989
99,NM_002634.4,PHB1,-1.263592946,1.30E-05,0.001851332,-4.360381236,302.8611953
100,NM_002130.8,HMGCS1,1.183562356,1.29E-05,0.001851332,4.361625102,80.52744988
101,NM_005005.3,NDUFB9,-0.74530732,1.32E-05,0.001857017,-4.357532338,259.9767812
102,NM_017528.5,BUD23,-0.860547501,1.37E-05,0.001908363,-4.349397026,99.84341932
103,NM_003076.5,SMARCD1,-0.701319773,1.42E-05,0.001968328,-4.340463706,113.5763705
104,NM_021633.4,KLHL12,-3.50692976,1.46E-05,0.001999412,-4.334894679,26.67331569
105,NM_005176.7,ATP5MC2,-2.062148903,1.49E-05,0.002009283,-4.32969638,729.8349685
106,NM_006813.3,PNRC1,0.824583536,1.49E-05,0.002009283,4.329618163,68.58902666
107,NM_001349.4,DARS1,0.614879768,1.51E-05,0.002014878,4.326937143,202.0120807
108,NM_007241.4,SNF8,-0.888217082,1.56E-05,0.002063283,-4.319650625,100.1353108
109,NM_000972.3,RPL7A,-1.285400948,1.61E-05,0.002107581,-4.312923743,2985.815938
110,NM_017592.4,MED29,-2.39698747,1.68E-05,0.002172411,-4.304201552,45.28146089
111,NM_001159936.1,EBNA1BP2,-0.572947981,1.75E-05,0.002247003,-4.294045666,128.3073385
112,NM_002512.4,NME2,-0.5034532,1.76E-05,0.002247003,-4.292723036,1671.939309
113,NM_014206.4,TMEM258,-0.737666377,1.98E-05,0.002425408,-4.267398367,140.2961722
114,NM_014764.4,DAZAP2,-1.540056412,1.97E-05,0.002425408,-4.268279421,157.8039737
115,NM_001366300.1,KHSRP,-0.724796501,1.98E-05,0.002425408,-4.267222635,107.7432463
116,NM_001318152.1,MRPL40,-2.659454153,1.99E-05,0.002425408,-4.266451494,45.45701244
117,NM_001256577.2,RPL10,-1.494279645,1.99E-05,0.002425408,-4.26599522,30.27145348
118,NM_181726.4,ANKRD37,2.734983202,2.04E-05,0.002462777,4.260679308,12.19519835
119,NM_001749.4,CAPNS1,-3.765080953,2.17E-05,0.002605455,-4.246185133,120.1444988
120,NM_001288.4,CLIC1,-1.073507766,2.22E-05,0.002635036,-4.241776269,258.3500722
121,NM_002798.3,PSMB6,-1.694026829,2.28E-05,0.002685486,-4.235610934,261.9777868
122,NM_003753.4,EIF3D,-0.501593769,2.32E-05,0.002685486,-4.231969814,486.2641366
123,NM_001008844.3,DSP,1.123496581,2.31E-05,0.002685486,4.232842186,37.24838708
124,NM_012394.4,PFDN2,-0.501961064,2.38E-05,0.002737464,-4.225834415,290.3802002
125,NM_006809.5,TOMM34,-0.88391603,2.49E-05,0.002832025,-4.215255173,83.14236896
126,NM_003129.4,SQLE,0.69011987,2.50E-05,0.002832025,4.214571726,97.67329191
127,NM_007103.4,NDUFV1,-3.113517178,2.55E-05,0.002866286,-4.210071229,51.94498914
128,NM_001242796.2,NUP93,-0.75959896,2.62E-05,0.00291992,-4.204106939,76.8878558
129,NM_024068.4,NABP2,-0.838285075,2.71E-05,0.002955086,-4.196554872,130.055529
130,NM_198175.1,NME1,-0.449393148,2.67E-05,0.002955086,-4.199564777,505.8569807
131,NM_003091.4,SNRPB,-2.324029806,2.71E-05,0.002955086,-4.196151159,343.0834332
132,NM_000884.3,IMPDH2,-0.888268507,2.79E-05,0.00298837,-4.190175768,350.4988854
133,NM_002799.4,PSMB7,-0.623081126,2.77E-05,0.00298837,-4.191471494,247.0553585
134,NM_004699.4,FAM50A,-1.555199257,2.87E-05,0.003053154,-4.18360507,160.1363119
135,NM_005729.4,PPIF,-0.686689906,2.92E-05,0.003087614,-4.17936344,170.6538979
136,NM_000289.6,PFKM,-1.062773365,3.05E-05,0.003198779,-4.169630185,85.0066188
137,NM_001256802.2,RPS3,-0.673286401,3.14E-05,0.003233456,-4.162952757,1684.577006
138,NM_014164.6,FXYD5,-2.060179115,3.16E-05,0.003233456,-4.161730114,178.0345884
139,NM_080598.6,DDX39B,-1.893763603,3.12E-05,0.003233456,-4.164354254,70.91705459
140,NM_007213.3,PRAF2,-1.645805518,3.17E-05,0.003233456,-4.160556982,55.37688817
141,NM_016133.4,INSIG2,1.123233189,3.21E-05,0.003241264,4.158380316,33.39824679
142,NM_012247.5,SEPHS1,-2.003892464,3.28E-05,0.003289941,-4.153357128,90.56592859
143,NM_001436.4,FBL,-0.923520564,3.42E-05,0.003412781,-4.143356387,1707.385446
