,targeet_id,symbol,log2FC,pvalue,padj,statistic,baseMean
5285,NM_015941.4,ATP6V1H,0.25613788,0.235758257,0.472364084,1.185655799,48.09046943
5286,NM_022372.6,MLST8,-2.332157462,0.235943338,0.472485098,-1.185187457,12.93136799
5287,NM_018959.4,DAZAP1,0.434945163,0.235952517,0.472485098,1.185164238,65.81952447
5288,NM_015365.3,AMMECR1,0.450351073,0.235910291,0.472485098,1.185271061,17.99688633
5289,NM_177454.4,FAM171B,0.366852586,0.236111922,0.472606502,1.184761087,22.71654991
5290,NM_052864.3,TIFA,0.441524696,0.23608189,0.472606502,1.184837026,15.36958124
5291,NM_012279.4,ZNF346,-0.440027817,0.23614704,0.472606502,-1.184672297,17.52895525
5292,NM_001256644.1,LTA4H,0.508299602,0.236280918,0.472758744,1.184333891,13.27175535
5293,NM_024576.5,OGFRL1,0.455221411,0.236312402,0.472758744,1.184254327,18.3726983
5294,NM_019030.4,DHX29,0.317323705,0.236493401,0.473031474,1.183797073,30.9033755
5295,NM_001270533.2,WTAP,0.303519327,0.236656957,0.47326922,1.183384096,45.26277658
5296,NM_015920.4,RPS27L,0.26967638,0.23680424,0.473295601,1.183012383,38.84238902
5297,NM_001297549.2,UPF1,-0.698148522,0.236726954,0.473295601,-1.183207419,9.191460187
5298,NM_017751.4,SMPD4,-0.30019326,0.236772056,0.473295601,-1.183093595,51.61225373
5299,NM_015014.4,RBM34,0.163622548,0.237130102,0.473413169,1.182190549,120.0297281
5300,NM_018237.4,CCAR1,0.217505315,0.237087033,0.473413169,1.182299124,89.96464901
5301,NM_001127713.1,ATL1,0.39649943,0.237039188,0.473413169,1.182419755,20.00259386
5302,NM_025264.5,THUMPD2,0.349581079,0.237159497,0.473413169,1.182116453,38.73104916
5303,NM_144582.3,TEX261,-0.273933936,0.23710589,0.473413169,-1.182251584,45.13388744
5304,NM_004622.3,TSN,0.191699995,0.237210942,0.473413169,1.181986791,95.94783467
5305,NM_020192.5,YAE1,0.296635991,0.23706983,0.473413169,1.182342497,38.15999081
5306,NM_002514.4,CCN3,-0.328666964,0.237220727,0.473413169,-1.181962132,29.91984757
5307,NM_000057.4,BLM,0.348097374,0.237442859,0.473767182,1.181402516,40.47314661
5308,NM_001135707.3,ACBD4,-0.78567606,0.237543658,0.473879013,-1.181148695,9.416761387
5309,NM_006183.5,NTS,0.572598475,0.237737105,0.474125744,1.180661793,9.719617459
5310,NM_030802.4,FAM117A,-0.63368931,0.237825118,0.474125744,-1.180440359,15.62413424
5311,NM_006251.5,PRKAA1,0.296180176,0.23784644,0.474125744,1.180386723,38.82959974
5312,NM_001270572.1,CSNK1G3,0.405514942,0.237811193,0.474125744,1.180475389,19.41613633
5313,NM_021217.3,ZNF77,0.416833068,0.237927821,0.474198701,1.180182038,16.44063964
5314,NM_001118890.2,GLRX,0.247117755,0.238014414,0.474282015,1.1799643,55.20015636
5315,NM_001305792.1,KIF14,0.430727402,0.23810874,0.474380705,1.179727181,21.59496253
5316,NM_001199463.2,PDCD2,0.296910393,0.238262723,0.474598188,1.179340236,36.26504341
5317,NM_007365.3,PADI2,-0.562865599,0.238333829,0.474650538,-1.179161612,12.96232865
5318,NM_003217.3,TMBIM6,-0.114626141,0.238413735,0.474720391,-1.178960927,556.3559261
5319,NM_178234.2,TUSC3,0.473495676,0.238610742,0.475023341,1.178466344,15.55559647
5320,NM_001198687.2,LEPR,0.47514174,0.238945018,0.475510016,1.17762781,14.50335513
5321,NM_133325.3,PHF10,0.398597509,0.238911006,0.475510016,1.177713092,34.80258285
5322,NM_001197051.2,ZFP91,0.250239721,0.239087026,0.475703217,1.177271831,57.77108007
5323,NM_006390.4,IPO8,0.238572662,0.239283244,0.476004184,1.176780208,57.48851089
